,const,TELENOW_1,TELENOW_2,TELECOVID_1,TELECOVID_2,TELE2019_1,TELE2019_2,HRYEAR4,rank_16,rank_25,rank_100,PEHRUSLT
500,1.0,0,0,0,0,0,0,2019,0,1,0,40
501,1.0,0,0,0,0,0,0,2019,0,1,0,40
505,1.0,0,0,0,0,0,0,2019,0,1,0,40
506,1.0,0,0,0,0,0,0,2019,0,1,0,40
510,1.0,0,0,0,0,0,0,2019,0,1,0,40
514,1.0,0,0,0,0,0,0,2019,0,1,0,45
515,1.0,0,0,0,0,0,0,2019,0,1,0,45
518,1.0,0,0,0,0,0,0,2019,0,1,0,25
519,1.0,0,0,0,0,0,0,2019,0,1,0,40
520,1.0,0,0,0,0,0,0,2019,0,1,0,50
521,1.0,0,0,0,0,0,0,2019,0,1,0,55
523,1.0,0,0,0,0,0,0,2019,0,1,0,40
525,1.0,0,0,0,0,0,0,2019,0,1,0,38
526,1.0,0,0,0,0,0,0,2019,0,1,0,32
527,1.0,0,0,0,0,0,0,2019,0,1,0,45
530,1.0,0,0,0,0,0,0,2019,0,1,0,44
531,1.0,0,0,0,0,0,0,2019,0,1,0,40
534,1.0,0,0,0,0,0,0,2019,0,1,0,45
536,1.0,0,0,0,0,0,0,2019,0,1,0,40
537,1.0,0,0,0,0,0,0,2019,0,1,0,28
538,1.0,0,0,0,0,0,0,2019,0,1,0,45
539,1.0,0,0,0,0,0,0,2019,0,1,0,45
543,1.0,0,0,0,0,0,0,2019,0,1,0,47
550,1.0,0,0,0,0,0,0,2019,0,1,0,40
552,1.0,0,0,0,0,0,0,2019,0,1,0,55
554,1.0,0,0,0,0,0,0,2019,0,1,0,40
558,1.0,0,0,0,0,0,0,2019,0,1,0,40
559,1.0,0,0,0,0,0,0,2019,0,1,0,40
560,1.0,0,0,0,0,0,0,2019,0,1,0,40
561,1.0,0,0,0,0,0,0,2019,0,1,0,50
562,1.0,0,0,0,0,0,0,2019,0,1,0,40
565,1.0,0,0,0,0,0,0,2019,0,1,0,55
571,1.0,0,0,0,0,0,0,2019,0,1,0,40
572,1.0,0,0,0,0,0,0,2019,0,1,0,40
573,1.0,0,0,0,0,0,0,2019,0,1,0,40
578,1.0,0,0,0,0,0,0,2019,0,0,1,50
579,1.0,0,0,0,0,0,0,2019,0,1,0,40
583,1.0,0,0,0,0,0,0,2019,0,1,0,40
584,1.0,0,0,0,0,0,0,2019,0,1,0,50
585,1.0,0,0,0,0,0,0,2019,0,0,1,32
586,1.0,0,0,0,0,0,0,2019,0,1,0,32
589,1.0,0,0,0,0,0,0,2019,0,1,0,40
591,1.0,0,0,0,0,0,0,2019,0,1,0,40
592,1.0,0,0,0,0,0,0,2019,0,1,0,50
593,1.0,0,0,0,0,0,0,2019,0,1,0,50
599,1.0,0,0,0,0,0,0,2019,0,1,0,40
600,1.0,0,0,0,0,0,0,2019,0,1,0,40
601,1.0,0,0,0,0,0,0,2019,0,1,0,30
602,1.0,0,0,0,0,0,0,2019,0,1,0,65
